,x,y,z,vx,vy,vz,roll,pitch,yaw
0.0,0.0,0.0,10.0,0.0,0.0,0.000267036735042735,0.0,0.0,0.0
0.0001,0.0,0.0,10.000000026703674,0.0,0.0,0.00053407347008547,-3.866145181774527e-09,-3.866145181774527e-09,0.0
0.0002,0.0,0.0,10.000000080111022,-9.650182419726166e-12,4.825091209863083e-12,0.0008011102051282051,-1.1598435101234372e-08,-1.1598435101234372e-08,1.4947076969946668e-17
0.00030000000000000003,-9.650182419726167e-16,4.825091209863083e-16,10.000000160222042,-3.860072855177086e-11,1.9300364285212684e-11,0.0010681469401709397,-2.3196870202468745e-08,-2.3196870202468745e-08,1.0462953958793252e-16
0.0004,-4.825091097149703e-15,2.4125455495075766e-15,10.000000267036736,-9.650182072258774e-11,4.8250910435911875e-11,0.0013351836752136742,-3.8661450041388434e-08,-3.8661450041388434e-08,3.736769265232826e-16
0.0005,-1.4475273169408477e-14,7.237636593098764e-15,10.000000400555104,-1.9300364001956963e-10,9.650182031758409e-11,0.0016022204102564073,-5.799217506208265e-08,-5.799217506208265e-08,9.71560008153468e-16
0.0006000000000000001,-3.377563717136544e-14,1.6887818624857174e-14,10.000000560777146,-3.3775636845204356e-10,1.688781851400923e-10,0.0018692571452991382,-8.118904482046219e-08,-8.118904482046219e-08,2.092590784847193e-15
0.0007,-6.75512740165698e-14,3.377563713886641e-14,10.00000074770286,-5.404101866783486e-10,2.702050955590599e-10,0.002136293880341865,-1.0825205976061625e-07,-1.0825205976061625e-07,3.97592248868131e-15
0.0008,-1.2159229268440467e-13,6.07961466947724e-14,10.000000961332248,-8.106152761668311e-10,4.0530764278434966e-10,0.0024033306153845853,-1.3918121943845563e-07,-1.3918121943845563e-07,6.905549581723905e-15
0.0009000000000000001,-2.0265382030108778e-13,1.0132691097320737e-13,10.00000120166531,-1.158021816922922e-09,5.790109174715845e-10,0.002670367350427296,-1.7397652429806953e-07,-1.7397652429806953e-07,1.121030775775122e-14
0.001,-3.1845600199338e-13,1.5922800272036583e-13,10.000001468702045,-1.5922799896501321e-09,7.961400108306268e-10,0.0029374040854699933,-2.1263797389536876e-07,-2.1263797389536876e-07,1.7263873940530736e-14
0.0011,-4.776840009583933e-13,2.388420038034285e-13,10.000001762442453,-2.12303997347713e-09,1.0615200135170985e-09,0.003204440820512672,-2.551655686744425e-07,-2.551655686744425e-07,2.5484766285538106e-14
0.0012000000000000001,-6.899879983061063e-13,3.449940051551384e-13,10.000002082886535,-2.7599519481187365e-09,1.379976016740861e-09,0.003471477555555326,-3.015593081912016e-07,-3.015593081912016e-07,3.633634417824024e-14
0.0013000000000000002,-9.6598319311798e-13,4.829916068292245e-13,10.000002430034291,-3.5126660916030018e-09,1.7563331111575347e-09,0.0037385142905979473,-3.518191928897352e-07,-3.518191928897352e-07,5.032680823581224e-14
